from,to,status,weight
3802.0,3794.0,Amistad,2.0
3801.0,3794.0,Enemistad,1.0
3799.0,3794.0,Amistad,1.0
3798.0,3794.0,Amistad,1.0
3796.0,3794.0,Amistad,1.0
3795.0,3794.0,Amistad,1.0
3793.0,3794.0,Amistad,1.0
3792.0,3794.0,Amistad,2.0
4172.0,3794.0,Amistad,1.0
3790.0,3794.0,Amistad,1.0
3789.0,3794.0,Amistad,1.0
3788.0,3794.0,Amistad,2.0
3786.0,3794.0,Amistad,2.0
3785.0,3794.0,Amistad,2.0
3784.0,3794.0,Amistad,2.0
3783.0,3794.0,Amistad,1.0
3781.0,3794.0,Amistad,2.0
3822.0,3794.0,Amistad,2.0
3821.0,3794.0,Amistad,1.0
3814.0,3794.0,Enemistad,2.0
3806.0,3794.0,Amistad,2.0
3882.0,3794.0,Amistad,1.0
1879.0,3794.0,Amistad,1.0
1889.0,3794.0,Amistad,1.0
3198.0,3794.0,Amistad,1.0
3802.0,3788.0,Amistad,2.0
3798.0,3788.0,Amistad,1.0
3797.0,3788.0,Amistad,1.0
3796.0,3788.0,Amistad,2.0
3795.0,3788.0,Amistad,1.0
3794.0,3788.0,Amistad,2.0
3793.0,3788.0,Amistad,1.0
3792.0,3788.0,Amistad,2.0
4172.0,3788.0,Amistad,1.0
3790.0,3788.0,Amistad,1.0
3789.0,3788.0,Amistad,2.0
3787.0,3788.0,Amistad,1.0
3786.0,3788.0,Amistad,1.0
3785.0,3788.0,Amistad,2.0
3784.0,3788.0,Amistad,2.0
3783.0,3788.0,Amistad,1.0
3781.0,3788.0,Amistad,1.0
3822.0,3788.0,Amistad,2.0
3821.0,3788.0,Amistad,2.0
3814.0,3788.0,Enemistad,2.0
3806.0,3788.0,Amistad,2.0
3458.0,3788.0,Amistad,1.0
3827.0,3788.0,Amistad,1.0
3882.0,3788.0,Amistad,2.0
3871.0,3788.0,Amistad,1.0
3869.0,3788.0,Amistad,1.0
1880.0,3788.0,Amistad,1.0
1889.0,3788.0,Amistad,1.0
1980.0,3788.0,Amistad,1.0
1995.0,3788.0,Amistad,2.0
3802.0,3787.0,Amistad,2.0
3801.0,3787.0,Amistad,1.0
3800.0,3787.0,Amistad,1.0
3799.0,3787.0,Amistad,1.0
3798.0,3787.0,Amistad,1.0
3797.0,3787.0,Amistad,2.0
3795.0,3787.0,Amistad,1.0
3794.0,3787.0,Amistad,1.0
3793.0,3787.0,Amistad,1.0
3788.0,3787.0,Amistad,2.0
3786.0,3787.0,Amistad,2.0
3785.0,3787.0,Amistad,1.0
3784.0,3787.0,Amistad,1.0
3783.0,3787.0,Amistad,2.0
3782.0,3787.0,Amistad,1.0
3781.0,3787.0,Amistad,1.0
3824.0,3787.0,Amistad,1.0
3822.0,3787.0,Amistad,1.0
3820.0,3787.0,Amistad,1.0
3817.0,3787.0,Amistad,1.0
3807.0,3787.0,Amistad,2.0
3869.0,3787.0,Amistad,1.0
3904.0,3787.0,Amistad,1.0
1923.0,3787.0,Amistad,2.0
1922.0,3787.0,Amistad,1.0
1905.0,3787.0,Amistad,2.0
1903.0,3787.0,Amistad,1.0
1879.0,3787.0,Amistad,2.0
1877.0,3787.0,Amistad,2.0
1924.0,3787.0,Amistad,1.0
1929.0,3787.0,Amistad,2.0
1911.0,3787.0,Enemistad,1.0
3802.0,2189.0,Amistad,2.0
3800.0,2189.0,Amistad,1.0
3793.0,2189.0,Amistad,1.0
3802.0,3820.0,Amistad,2.0
3800.0,3820.0,Amistad,1.0
3795.0,3820.0,Amistad,2.0
3793.0,3820.0,Amistad,1.0
4172.0,3820.0,Amistad,1.0
3790.0,3820.0,Amistad,2.0
3786.0,3820.0,Amistad,1.0
3785.0,3820.0,Amistad,1.0
3783.0,3820.0,Amistad,2.0
3782.0,3820.0,Amistad,2.0
3781.0,3820.0,Amistad,2.0
3822.0,3820.0,Amistad,1.0
3821.0,3820.0,Amistad,2.0
3818.0,3820.0,Amistad,1.0
3817.0,3820.0,Amistad,1.0
3816.0,3820.0,Amistad,1.0
3815.0,3820.0,Amistad,1.0
3814.0,3820.0,Amistad,2.0
3812.0,3820.0,Amistad,2.0
3811.0,3820.0,Amistad,1.0
3810.0,3820.0,Amistad,2.0
3806.0,3820.0,Amistad,1.0
3805.0,3820.0,Amistad,2.0
3804.0,3820.0,Amistad,2.0
3893.0,3820.0,Enemistad,1.0
1879.0,3820.0,Enemistad,2.0
3802.0,3811.0,Amistad,2.0
3800.0,3811.0,Amistad,2.0
3795.0,3811.0,Amistad,2.0
3793.0,3811.0,Amistad,1.0
4172.0,3811.0,Amistad,1.0
3790.0,3811.0,Amistad,2.0
3789.0,3811.0,Amistad,1.0
3786.0,3811.0,Amistad,2.0
3785.0,3811.0,Amistad,1.0
3783.0,3811.0,Amistad,2.0
3782.0,3811.0,Amistad,2.0
3781.0,3811.0,Amistad,2.0
3823.0,3811.0,Amistad,1.0
3822.0,3811.0,Amistad,1.0
3821.0,3811.0,Amistad,2.0
3820.0,3811.0,Amistad,2.0
3818.0,3811.0,Amistad,1.0
3817.0,3811.0,Amistad,2.0
3816.0,3811.0,Amistad,1.0
3815.0,3811.0,Amistad,1.0
3814.0,3811.0,Amistad,1.0
3810.0,3811.0,Amistad,1.0
3808.0,3811.0,Amistad,1.0
3806.0,3811.0,Amistad,1.0
3805.0,3811.0,Amistad,1.0
3804.0,3811.0,Amistad,2.0
3841.0,3811.0,Amistad,1.0
3835.0,3811.0,Amistad,2.0
3827.0,3811.0,Amistad,2.0
3853.0,3811.0,Amistad,1.0
1995.0,3811.0,Amistad,1.0
3199.0,3811.0,Amistad,1.0
1911.0,3811.0,Amistad,1.0
3802.0,3796.0,Amistad,2.0
3801.0,3796.0,Amistad,2.0
3800.0,3796.0,Amistad,1.0
3799.0,3796.0,Amistad,2.0
3798.0,3796.0,Amistad,2.0
3797.0,3796.0,Amistad,1.0
3794.0,3796.0,Amistad,1.0
